,sentence
0,Ayurveda is an ancient healing system from India
1,It means the science of life
2,It helps people to stay healthy and happy
3,"It uses natural methods like herbs, diet, yoga, and massage"
4,"It also considers the mind, body, and spirit of each person"
5,It says that everyone has a different type of energy or constitution
6,"There are three types of energy: vata, pitta, and kapha"
7,"They affect how a person thinks, feels, and acts"
8,They also affect the health and balance of the body
9,Ayurveda helps people to find out their type of energy and how to balance it
10,It also helps people to prevent and treat diseases
11,Ayurveda is not a scientific system
12,It is based on beliefs and traditions
13,"Some people may find it helpful, but others may not"
14,It is important to consult a doctor before using ayurveda
