index,source,target,edge
0,connie,own,decides
1,later  scream,distance,heard in
2,christian,then  elder,paralyzed by
3,temple,fire,set on
5,it,religious  awakening,'s
6,c. mackenzie,craig cast,joined
7,later craig di francia,action cast,revealed
8,sebastian  maniscalco,later paul ben cast,revealed as
9,we,just  film,tried
10,we,tests,went through
11,m,international sales rights,circling
12,canadian musician robbie robertson,soundtrack,supervised
13,it,original music tracks,features
14,it,reviewed  franchise,is
15,she,accidentally  mystique,injures
16,military  forces,arrest,tasked with
17,train,vuk,attacked by
18,kota eberhardt,telepath selene gallio,portrays
19,singer,men,return
20,last  which,penn,stand
21,jessica chastain,same  character,considered for
22,mauro fiore,cinematographer,served as
23,filming,october,completed on
24,soundtrack,digitally  june,released
25,album,digitally  august,released
26,film,studios motion pictures,distributed by
27,it,$ 103.7 million,ended
29,it,executive producer yoshimitsu banno,dedicated to executive
30,vivienne graham,former employee dr,approach former
31,monster which,several monarch dr,frees
32,madison,mythological  texts,disowns
33,joe morton,older  .,appears as
34,godzilla,king themselves,credited as
35,when  dougherty,when  reaction,stated
36,we,godzilla,empathizing with
37,only  mandate,monarch,was
38,ten  writers,treatment,contributed to
39,script,year,took
40,dougherty,filming  production,changed
41,film,this,became
42,it,big  dinosaurs,look like big
43,other  actors,body,perform
44,designer scott chambliss,art directors,managed
45,single,may,released on
46,tracks,bear mccreary,written by
47,score,also  mccreary,conducted by
48,teaser  poster,december,released
49,theatrical  poster,april,released
50,film,originally  june,scheduled
51,collectible  tickets,two  sizes,offered in
52,4k release,hdr10,includes
53,retail  exclusives,clear  files,include
54,such  heroes,one  liners,are ready
55,it,science fiction twist,was
56,currently action films,extensive stunt work,tend
57,examples,indiana jones franchise,include
59,mall cop,recent  trend,is
60,they,often entertainment storytelling,are
61,both,many  roles,had many
62,producer,production  filmmaking,supervises
63,finally  producer,marketing,oversee
64,line producer,certain  cases,credited
65,most  producers,college  school,start in
66,film directors,screenwriters,started as
67,other film directors,film school,attended
68,directors,different  approaches,use different
69,directors,such  producing,take
70,film schools,sound  stages,equipped with sound
71,full degree course,five  years,designed for
72,berlin,berlin tv station rbb,cooperates with
74,national film awards,prominent film award india,is
75,awards,first  1954,presented in
76,national film awards,main  categories,presented in
77,he,home enters apartment,returns
78,mass  riot,gotham,breaks
79,arthur,arkham state hospital,imprisoned at
80,film war dogs,august,premiered in
81,we,even  joker,doing
82,then  we,that,reshoot
83,dante pereira olson,douglas cast,joined
84,it,theatrically warner bros,scheduled
85,it,eye  me,been
86,i,it,wait
87,they,it,did
88,i,it,wait
89,they,it,did
90,film,short samuel beckett,is
91,second  draft,22  may,produced by
92,beckett,zero director alan mostel,were interested
93,beckett,then buster keaton,suggested
94,this,only united states,being
95,david rayner clark,max wall,directed
97,couple,other,look at
98,camera,vestibule,cuts to
99,camera,close  up,gives
100,she,fumbling  feet,descends
101,she,eyes,closes
102,coat tails,stairs,seen
103,simply  mechanics,tasks,are laborious
104,he,them,ignores
105,he,still eye patch,has
106,he,chair,starts from
107,esse  est,aut percipere,percipi
108,he,away  himself,get
109,e,merely  person,is
110,e,blind  eye,is
111,script,various  ways,interpreted in various
112,viewers,work,asked
113,particular  beckett,particular  project,involved
114,four  directors,series,worked on
115,he,book,went
116,david heyman,film,confirmed
117,previous acting experience,school plays,was in
118,barron,four  films,appointed
119,executive  producers,tanya seghatchian tanya wigram,include
120,he,real  passion,expressed real
121,directors,other,been supportive
122,production designer,eight  films,is
123,so  we,substantial  piece,was
124,harry potter series,four  composers,had
125,desplat,harry potter,returned
127,they,trumps,came
128,director,last  time,shouts
129,harry potter,unkind muggle aunt,is
130,however  part,2  2d,released in
131,2017  johns,january,reported
132,principal  photography,august,began on
133,david ayer,director,with
135,justice league,worldwide  november,released
136,aquaman,october,announced in
137,production,august,began in
138,villain mister mind,credits mid scene,introduced in
139,month  sequel,diego comic con,announced at
140,production,early  december,begun by early
